Zeit	KanalA	KanalB
84.95999948	22.38990000	22.53029000
85.03999948	21.93976000	22.53029000
85.11999948	22.38990000	22.53029000
85.19999948	22.38990000	22.53029000
85.27999948	22.38990000	22.53029000
85.35999948	22.38990000	22.53029000
85.43999948	22.38990000	22.53029000
85.51999948	22.38990000	22.98196000
85.59999948	22.38990000	22.53029000
85.67999948	22.38990000	22.98196000
85.75999948	22.38990000	22.98196000
85.83999948	22.38990000	22.53029000
85.91999948	22.38990000	22.98196000
85.99999948	23.73730000	24.33546000
86.07999948	25.53484000	25.23728000
86.15999948	25.08622000	25.23728000
86.23999948	24.63607000	24.78713000
86.31999948	24.63607000	24.78713000
86.39999947	24.63607000	24.78713000
86.47999947	24.18744000	24.78713000
86.55999947	24.63607000	24.78713000
86.63999947	24.18744000	24.78713000
86.71999947	24.18744000	24.33546000
86.79999947	23.28868000	23.43364000
86.87999947	21.93976000	22.08014000
86.95999947	21.93976000	22.08014000
87.03999947	21.93976000	22.08014000
87.11999947	22.83853000	22.98196000
87.19999947	22.83853000	23.43364000
87.27999947	22.83853000	23.43364000
87.35999947	22.38990000	22.53029000
87.43999947	21.93976000	22.53029000
87.51999947	22.38990000	22.98196000
87.59999947	22.83853000	22.98196000
87.67999947	22.83853000	23.43364000
87.75999947	22.38990000	22.98196000
87.83999947	22.38990000	22.98196000
87.91999947	22.38990000	22.53029000
87.99999947	22.83853000	22.98196000
88.07999946	23.28868000	22.98196000
88.15999946	22.83853000	22.98196000
88.23999946	22.38990000	22.53029000
88.31999946	21.93976000	22.53029000
88.39999946	22.83853000	22.53029000
88.47999946	22.83853000	22.98196000
88.55999946	22.83853000	22.98196000
88.63999946	22.38990000	22.53029000
88.71999946	22.38990000	22.53029000
88.79999946	22.38990000	22.98196000
88.87999946	22.38990000	22.98196000
88.95999946	22.83853000	22.98196000
89.03999946	22.38990000	22.98196000
89.11999946	22.83853000	22.53029000
89.19999946	22.83853000	22.98196000
89.27999946	22.83853000	22.98196000
89.35999946	22.83853000	22.98196000
89.43999946	22.83853000	22.98196000
89.51999946	22.83853000	22.98196000
89.59999946	22.83853000	22.98196000
89.67999945	22.83853000	22.98196000
89.75999945	22.83853000	22.98196000
89.83999945	22.83853000	22.98196000
89.91999945	22.83853000	22.98196000
89.99999945	22.38990000	22.53029000
90.07999945	22.38990000	22.98196000
90.15999945	22.83853000	22.98196000
90.23999945	22.83853000	22.98196000
90.31999945	22.38990000	22.98196000
90.39999945	22.83853000	22.98196000
90.47999945	22.38990000	22.53029000
90.55999945	22.83853000	22.98196000
90.63999945	22.38990000	22.98196000
90.71999945	22.38990000	22.98196000
90.79999945	22.38990000	22.98196000
90.87999945	22.38990000	22.98196000
90.95999945	22.83853000	22.98196000
91.03999945	22.38990000	22.98196000
91.11999945	22.38990000	22.98196000
91.19999945	22.38990000	22.53029000
91.27999945	22.38990000	22.98196000
91.35999944	22.83853000	22.98196000
91.43999944	22.83853000	22.98196000
91.51999944	22.83853000	22.98196000
91.59999944	22.38990000	22.98196000
91.67999944	22.83853000	22.98196000
91.75999944	22.83853000	22.98196000
91.83999944	22.83853000	22.98196000
91.91999944	22.83853000	22.98196000
91.99999944	22.83853000	22.98196000
92.07999944	22.38990000	22.98196000
92.15999944	22.83853000	22.98196000
92.23999944	22.83853000	22.98196000
92.31999944	22.38990000	22.98196000
92.39999944	22.83853000	22.98196000
92.47999944	22.83853000	22.98196000
92.55999944	22.83853000	22.98196000
92.63999944	22.38990000	22.98196000
92.71999944	22.38990000	22.98196000
92.79999944	22.38990000	22.98196000
92.87999944	22.38990000	22.98196000
92.95999944	22.38990000	22.98196000
93.03999943	22.83853000	22.98196000
93.11999943	22.38990000	22.98196000
93.19999943	22.83853000	22.98196000
93.27999943	22.38990000	22.98196000
93.35999943	22.83853000	22.98196000
93.43999943	22.38990000	22.98196000
93.51999943	22.83853000	22.98196000
93.59999943	23.28868000	11.25217000
93.67999943	30.02869000	9.89867900
93.75999943	30.02869000	8.54518200
93.83999943	30.92593000	8.99685700
93.91999943	30.02869000	8.54518200
93.99999943	30.92593000	8.54518200
94.07999943	30.47731000	8.54518200
94.15999943	30.92593000	8.99685700
94.23999943	30.47731000	8.54518200
94.31999943	30.92593000	8.54518200
94.39999943	30.47731000	8.54518200
94.47999943	30.47731000	8.54518200
94.55999943	30.47731000	8.54518200
94.63999942	30.47731000	8.54518200
94.71999942	30.47731000	8.54518200
94.79999942	30.47731000	8.54518200
94.87999942	30.92593000	8.54518200
94.95999942	30.02869000	8.09350900
95.03999942	30.92593000	8.99685700
95.11999942	30.02869000	8.54518200
95.19999942	30.92593000	8.54518200
95.27999942	30.47731000	8.54518200
95.35999942	30.92593000	8.54518200
95.43999942	30.47731000	8.54518200
95.51999942	30.47731000	8.54518200
95.59999942	30.47731000	8.54518200
95.67999942	30.92593000	8.54518200
95.75999942	30.92593000	8.54518200
95.83999942	30.47731000	8.54518200
95.91999942	30.47731000	8.54518200
95.99999942	30.47731000	8.54518200
96.07999942	30.47731000	8.54518200
96.15999942	30.47731000	8.54518200
96.23999942	30.47731000	8.99685700
96.31999941	30.47731000	8.54518200
96.39999941	30.92593000	8.99685700
96.47999941	30.47731000	8.99685700
96.55999941	30.47731000	8.54518200
96.63999941	30.47731000	8.54518200
96.71999941	30.92593000	8.54518200
96.79999941	30.47731000	8.54518200
96.87999941	30.47731000	8.54518200
96.95999941	30.92593000	8.99685700
97.03999941	30.47731000	8.54518200
97.11999941	30.92593000	8.99685700
97.19999941	30.47731000	8.54518200
97.27999941	30.47731000	8.54518200
97.35999941	30.92593000	8.99685700
97.43999941	30.92593000	8.54518200
97.51999941	30.92593000	8.99685700
97.59999941	30.92593000	8.54518200
97.67999941	30.92593000	8.99685700
97.75999941	30.92593000	8.54518200
97.83999941	30.47731000	8.54518200
97.91999940	30.47731000	8.54518200
97.99999940	30.92593000	8.54518200
98.07999940	30.92593000	8.54518200
98.15999940	30.47731000	8.54518200
98.23999940	30.92593000	8.54518200
98.31999940	30.47731000	8.54518200
98.39999940	30.92593000	8.54518200
98.47999940	30.47731000	8.54518200
98.55999940	30.47731000	8.54518200
98.63999940	30.47731000	8.54518200
98.71999940	30.47731000	8.54518200
98.79999940	30.47731000	8.54518200
98.87999940	30.47731000	8.54518200
98.95999940	30.47731000	8.54518200
99.03999940	30.92593000	8.54518200
99.11999940	30.47731000	8.54518200
99.19999940	30.47731000	8.54518200
99.27999940	30.47731000	8.54518200
99.35999940	30.92593000	8.54518200
99.43999940	30.47731000	8.54518200
99.51999940	30.47731000	8.54518200
99.59999939	30.02869000	8.54518200
99.67999939	30.47731000	8.54518200
99.75999939	30.47731000	8.54518200
99.83999939	30.47731000	8.54518200
99.91999939	30.47731000	8.54518200
99.99999939	30.47731000	8.54518200
100.07999939	30.02869000	8.54518200
100.15999939	30.47731000	8.54518200
100.23999939	30.47731000	8.54518200
100.31999939	30.47731000	8.54518200
100.39999939	30.92593000	8.54518200
