Zeit	KanalA	KanalB
6.55999996	227.88170000	227.74440000
6.63999996	227.88170000	227.74440000
6.71999996	227.88170000	227.74440000
6.79999996	227.88170000	227.74440000
6.87999996	227.88170000	227.74440000
6.95999996	227.88170000	227.74440000
7.03999996	227.88170000	227.74440000
7.11999996	227.88170000	227.74440000
7.19999996	227.88170000	227.74440000
7.27999996	227.88170000	227.74440000
7.35999996	227.88170000	227.74440000
7.43999995	227.88170000	227.74440000
7.51999995	227.88170000	227.74440000
7.59999995	227.88170000	227.74440000
7.67999995	227.88170000	227.74440000
7.75999995	245.70450000	245.59770000
7.83999995	250.16020000	245.59770000
7.91999995	250.16020000	250.05340000
7.99999995	245.70450000	245.59770000
8.07999995	245.70450000	245.59770000
8.15999995	245.70450000	245.59770000
8.23999995	241.24880000	245.59770000
8.31999995	236.79310000	236.67100000
8.39999995	223.41070000	223.28870000
8.47999995	223.41070000	227.74440000
8.55999995	227.88170000	227.74440000
8.63999995	232.33740000	232.20010000
8.71999995	236.79310000	236.67100000
8.79999995	232.33740000	232.20010000
8.87999995	227.88170000	227.74440000
8.95999995	227.88170000	227.74440000
9.03999995	227.88170000	232.20010000
9.11999994	232.33740000	236.67100000
9.19999994	232.33740000	232.20010000
9.27999994	227.88170000	227.74440000
9.35999994	227.88170000	227.74440000
9.43999994	227.88170000	232.20010000
9.51999994	232.33740000	232.20010000
9.59999994	232.33740000	232.20010000
9.67999994	227.88170000	232.20010000
9.75999994	227.88170000	227.74440000
9.83999994	227.88170000	227.74440000
9.91999994	232.33740000	232.20010000
9.99999994	232.33740000	232.20010000
10.07999994	227.88170000	227.74440000
10.15999994	227.88170000	227.74440000
10.23999994	227.88170000	227.74440000
10.31999994	232.33740000	232.20010000
10.39999994	232.33740000	232.20010000
10.47999994	227.88170000	232.20010000
10.55999994	227.88170000	227.74440000
10.63999994	227.88170000	232.20010000
10.71999993	227.88170000	227.74440000
10.79999993	227.88170000	232.20010000
10.87999993	227.88170000	232.20010000
10.95999993	227.88170000	227.74440000
11.03999993	227.88170000	232.20010000
11.11999993	227.88170000	227.74440000
11.19999993	227.88170000	232.20010000
11.27999993	227.88170000	232.20010000
11.35999993	227.88170000	227.74440000
11.43999993	227.88170000	232.20010000
11.51999993	227.88170000	232.20010000
11.59999993	227.88170000	227.74440000
11.67999993	227.88170000	232.20010000
11.75999993	227.88170000	232.20010000
11.83999993	227.88170000	232.20010000
11.91999993	232.33740000	232.20010000
11.99999993	232.33740000	232.20010000
12.07999993	232.33740000	232.20010000
12.15999993	232.33740000	232.20010000
12.23999993	227.88170000	232.20010000
12.31999993	227.88170000	232.20010000
